CD_DIST;NOM_DIST;ADRESSE;VILLE;TEL;FAX;RESPONSABLE;INTERNE_EXTERNE;CD_STATUT;DATE_STATUT;DATE_CREA;OBSERVATIONS;CODE_BAR_PTV;MAT_FISCAL;NUM_COMPT;SOLDE;DAT_MAJ;COD_USER;COD_PDV;JOURNAL;CLE;CENT_REP;CODE_ENTITE_PERE;CODE_TYPE_ENTITE;EMAIL
I08;Boutique KSAR HLEL;KSAR HELLEL;SOUSSE;;;;F;A;10/04/2007 12:47:11;10/04/2007 12:47:11;;9029;;9029;;04/01/2015 12:40:57;1554;9029;I08;31;N;5;3;
M21;Boutique CARREFOUR;TUNIS;TUNIS;;;;I;A;02/05/2009 14:50:43;02/05/2009 14:50:43;;9042;;9042;;03/25/2015 09:59:58;1554;9042;300;44;N;9;2;
I24;Boutique HAMMAM LIF;TUNIS;TUNIS;;;;F;A;01/25/2010 15:05:03;01/25/2010 15:05:03;;9049;;9049;;04/01/2015 12:38:21;1554;9049;I24;51;N;4;3;
I03;Boutique ENNASR;ENNASR;TUNIS;;;;F;A;06/27/2007 14:03:14;06/27/2007 14:03:14;;9024;;9024;;03/25/2015 09:58:44;1554;9024;I03;26;N;1;3;
M19;Boutique AEROPORT MONASTIR;MONASTIR-AEROPORT;MONASTIR;;;;I;A;02/07/2007 15:16:47;02/07/2007 15:16:47;;9022;;9022;;12/10/2009 10:15:12;1554;9022;280;23;N;5;2;
M20;Boutique KASSERINE;KASSERINE;KASSERINE;;;;I;A;01/22/2008 09:02:27;01/22/2008 09:02:27;;9033;;9033;;12/10/2009 10:15:12;1554;9033;290;35;N;3;2;
M22;Boutique SILIANA;TUNIS;TUNIS;;;;I;A;02/20/2009 12:09:11;02/20/2009 12:09:11;;9043;;9043;;12/10/2009 10:15:12;1554;9043;310;45;N;2;2;
I19;Boutique LE KEF;TUNIS;TUNIS;;;;F;A;07/20/2009 09:00:41;07/20/2009 09:00:41;;9044;;9044;;04/01/2015 12:37:15;1554;9044;I19;46;N;3;3;
I20;Boutique SOUSSE ERRIADH;TUNIS;TUNIS;;;;F;A;07/20/2009 09:14:15;07/20/2009 09:14:15;;9045;;9045;;04/01/2015 12:40:58;1554;9045;I20;47;N;5;3;
C01;Boutique CHARGUIA;Siège Tunisiana;CHARGUIA 1;71806220;;Ben Ghorbel Ahmed;I;A;12/26/2002 00:00:00;12/26/2002 00:00:00;RAS;9201;;9201;0;12/10/2009 10:15:11;0263;9201;032;00;O;1;2;
M01;Boutique ZEPHYR;La Marsa;La Marsa;;;Ben Amor Hichem;I;A;03/01/2004 00:00:00;03/08/2004 00:00:00;;9001;;9001;0;03/25/2015 09:59:58;0263;9001;031;01;N;2;2;asma.lachaal@ooredoo.tn
M02;Boutique MEDINA PALACE;Médina Palace;Tunis;71331009;71330035;Jami Zeinab;I;A;04/04/2004 00:00:00;04/04/2004 00:00:00;;9002;;9002;0;04/01/2015 12:38:22;0263;9002;036;03;N;2;2;
M03;Boutique SFAX I;SFAX;SFAX;;;Chiha Moez;I;A;06/10/2004 00:00:00;06/10/2004 00:00:00;;9003;;9003;0;04/01/2015 12:40:58;0551;9003;037;04;N;7;2;
M04;Boutique SOUSSE;Abou Nawes Boujaafar;Sousse;;;Ben Ameur Lamia;I;A;07/08/2004 00:00:00;07/08/2004 10:49:07;;9004;;9004;0;04/01/2015 12:40:58;0263;9004;038;05;N;5;2;
G01;CENTRE CORPORATE;Siège Tunisiana;La Charguia;71806220;;;I;A;09/29/2004 00:00:00;09/27/2004 00:00:00;;9202;;9202;0;01/29/2008 18:11:52;0263;9202;033;02;N;;;
R01;CENTRE RECOUVREMENT;TUNIS LAC;TUNIS;;;;I;A;11/15/2005 00:00:00;11/15/2005 00:00:00;;9011;;9011;;02/13/2007 11:00:02;0551;9011;026;12;N;;;
M18;Boutique LAC;LAC;TUNIS;;;;I;A;07/13/2006 00:00:00;07/13/2006 00:00:00;;9019;;9019;;03/25/2015 09:59:58;0551;9019;260;21;O;1;2;asma.lachaal@ooredoo.tn
S01;Boutique ZARZIS;ZARZIS;ZARZIS;;;;F;A;09/01/2006 00:00:00;09/01/2006 00:00:00;;9020;;9020;;04/01/2015 12:39:41;0551;9020;S01;22;N;6;3;
M16;Boutique MAHDIA;MAHDIA;MAHDIA;;;;I;A;06/19/2006 00:00:00;06/19/2006 00:00:00;;9017;;9017;;04/01/2015 12:40:58;0551;9017;250;19;N;5;2;
M17;Boutique MONASTIR;MONASTIR;MONASTIR;;;;I;A;06/19/2006 00:00:00;06/19/2006 00:00:00;;9018;;9018;;04/01/2015 12:40:58;0551;9018;240;20;N;5;2;
I01;Boutique HAMMAMET;HAMMAMET;HAMMAMET;;;;F;A;11/21/2006 00:00:00;11/21/2006 00:00:00;;9021;;9021;;03/25/2015 09:59:58;0551;9021;I01;24;N;8;3;
M05;Boutique BARDO;BARDO;TUNIS;;;ZYDOUNE;I;A;05/27/2005 00:00:00;05/27/2005 00:00:00;;9005;;9005;;04/01/2015 12:37:15;0551;9005;023;09;N;3;2;
M06;Boutique NABEUL;NABEUL;NABEUL;;;;I;A;05/27/2005 00:00:00;05/27/2005 00:00:00;;9006;;9006;;03/25/2015 09:59:58;0551;9006;025;11;N;8;2;
M07;Boutique BIZERTE;BIZERTE;BIZERTE;;;;I;A;05/27/2005 00:00:00;05/27/2005 00:00:00;;9007;;9007;;03/25/2015 09:58:45;0551;9007;021;07;N;9;2;
M08;Boutique ARIANA;ARIANA;ARIANA;;;;I;A;05/27/2005 00:00:00;05/27/2005 00:00:00;;9008;;9008;;03/25/2015 09:58:45;0551;9008;024;10;N;1;2;
M09;Boutique EZZAHRA;EZZAHRA;EZZAHRA;;;;I;A;05/27/2005 00:00:00;05/27/2005 00:00:00;;9009;;9009;;04/01/2015 12:38:22;0551;9009;022;08;N;4;2;
M10;Boutique AEROPORT;TUNIS-AEROPORT;TUNIS;;;;I;A;11/11/2005 00:00:00;11/11/2005 00:00:00;;9010;;9010;;03/25/2015 09:58:45;0551;9010;027;13;N;9;2;
M13;Boutique GABES;GABES;GABES;;;;I;A;04/13/2006 00:00:00;04/13/2006 00:00:00;;9014;;9014;;04/01/2015 12:39:41;0551;9014;220;17;N;6;2;
M14;Boutique SFAX II;SFAX;SFAX;;;;I;A;04/13/2006 00:00:00;04/13/2006 00:00:00;;9015;;9015;;04/01/2015 12:40:58;0551;9015;210;16;N;6;2;
M15;Boutique BEJA;BEJA;BEJA;;;;I;A;06/01/2006 00:00:00;06/01/2006 00:00:00;;9016;;9016;;04/01/2015 12:37:15;0551;9016;230;18;N;3;2;
M11;Boutique KAIROUAN;KAIROUAN;KAIROUAN;;;;I;A;03/23/2006 00:00:00;03/23/2006 00:00:00;;9012;;9012;;04/01/2015 12:40:58;0551;9012;028;14;N;8;2;
M12;Boutique GAFSA;GAFSA;GAFSA;;;;I;A;03/23/2006 00:00:00;03/23/2006 00:00:00;;9013;;9013;;04/01/2015 12:39:41;0551;9013;029;15;N;7;2;
